"Path","Hash","Bytes"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100031\figures\exhibit_3_mortgage_composition_annual.png","79c947f126e6e35b5750ba15de9c7debad0ba331fb84916be2b889e32e70c28d","87576"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100031\figures\exhibit_4_price_vs_turnover_index_annual.png","72be25e146f3e72215acca2bb0d5d6205843a8fc055b1f107a6d3db1be2a78bd","107554"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures\england_wales_cash_share_quarterly.png","d4bc0aeff099b37f605ff879ca49cb5b6d4a1b236f7239f5cf99003ed411f321","152042"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures\exhibit_1_turnover_cashshare_annual.png","50b1e80c2e57a84682251a28744d975c7bea240759d34b4a72157b6be14ecbff","125865"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures\exhibit_2a_transaction_levels_annual.png","38c5fea2d3ea7e8563be830526d6dfe08fdf47e4dba849327a2d118230102293","122966"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures\exhibit_2b_transaction_mix_shares_annual.png","6477793c21f311283ba60eb5e18893914a23fcc459b552ca06ab06a038b2b534","84325"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures\exhibit_3_mortgage_composition_annual.png","5b1daa1ceb616db3d99238b6840cdc69c786b9dfbb0f0cccd28ecd70c13fc90b","94714"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures\exhibit_4_price_vs_turnover_index_annual.png","0b91945d3c0082a82cd4eef635fe4b88e22db1ce14272aa01f1e09b9ce433a6f","114972"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\outputs\draft_paper_assets\fig_avg_leadtime_by_signal.png","b6ce81dbcff18698289f84afc5937aae22521255dcf438cc9b9161526b2b6d4d","64975"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\outputs\draft_paper_assets\fig_price_and_fair_with_crash_starts.png","eef8cbd9d6bf8e9c0f4783a6862f1df43982248d3d4dda0147a3cb01dc0f1722","163006"
