"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Sales volume Cash purchases","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-06,,quarterly,,1979-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-06,,quarterly,,1979-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-07,,quarterly,,1979-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-07,,quarterly,,1979-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-08,,quarterly,,1979-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-08,,quarterly,,1979-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-09,,quarterly,,1979-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-09,,quarterly,,1979-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-10,,quarterly,,1979-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-10,,quarterly,,1979-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-11,,quarterly,,1979-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-11,,quarterly,,1979-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-12,,quarterly,,1979-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-12,,quarterly,,1979-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1980-01,,quarterly,,1980-01-01
