Name,quarter,new_build,existing,cash,mortgage,total_transactions,cash_share,cash_share_pct,total_stockmix_check
England,2017-12-31,12875.0,63647.0,21469.0,55017.0,76486.0,0.2806918913265173,28.06918913265173,76522.0
Wales,2017-12-31,610.0,4049.0,1504.0,3152.0,4656.0,0.3230240549828179,32.302405498281786,4659.0
England,2018-03-31,9735.0,58449.0,19499.0,48633.0,68132.0,0.2861944460752657,28.619444607526567,68184.0
Wales,2018-03-31,341.0,3459.0,1287.0,2511.0,3798.0,0.33886255924170616,33.88625592417062,3800.0
England,2018-06-30,15200.0,63856.0,21543.0,57475.0,79018.0,0.2726340833734086,27.26340833734086,79056.0
Wales,2018-06-30,575.0,3769.0,1390.0,2951.0,4341.0,0.32020271826768026,32.020271826768024,4344.0
England,2018-09-30,8797.0,60042.0,20188.0,48615.0,68803.0,0.29341743819310206,29.341743819310206,68839.0
Wales,2018-09-30,304.0,3655.0,1341.0,2618.0,3959.0,0.33872189946956305,33.872189946956304,3959.0
England,2018-12-31,13145.0,56696.0,18738.0,51061.0,69799.0,0.2684565681456754,26.84565681456754,69841.0
Wales,2018-12-31,616.0,3639.0,1334.0,2916.0,4250.0,0.31388235294117645,31.388235294117646,4255.0
England,2019-03-31,9866.0,55340.0,17969.0,47105.0,65074.0,0.27613178842548486,27.613178842548486,65206.0
Wales,2019-03-31,298.0,3341.0,1195.0,2432.0,3627.0,0.329473393989523,32.9473393989523,3639.0
England,2019-06-30,14266.0,54735.0,17590.0,50955.0,68545.0,0.25661973885768474,25.661973885768475,69001.0
Wales,2019-06-30,499.0,3498.0,1187.0,2786.0,3973.0,0.2987666750566323,29.876667505663228,3997.0
England,2019-09-30,8996.0,60024.0,18800.0,49162.0,67962.0,0.2766251728907331,27.662517289073307,69020.0
Wales,2019-09-30,328.0,3595.0,1226.0,2625.0,3851.0,0.31835886782653855,31.835886782653855,3923.0
England,2019-12-31,13033.0,57508.0,18388.0,50472.0,68860.0,0.26703456288120825,26.703456288120826,70541.0
Wales,2019-12-31,524.0,3565.0,1160.0,2809.0,3969.0,0.2922650541698161,29.226505416981606,4089.0
England,2020-03-31,7890.0,49736.0,15525.0,39966.0,55491.0,0.27977509866464834,27.977509866464835,57626.0
Wales,2020-03-31,279.0,3061.0,1028.0,2197.0,3225.0,0.3187596899224806,31.875968992248062,3340.0
England,2020-06-30,4889.0,41775.0,12806.0,32975.0,45781.0,0.279723029204255,27.972302920425502,46664.0
Wales,2020-06-30,141.0,1872.0,596.0,1376.0,1972.0,0.3022312373225152,30.223123732251523,2013.0
England,2020-09-30,6332.0,56532.0,17116.0,44353.0,61469.0,0.2784492996469765,27.844929964697652,62864.0
Wales,2020-09-30,131.0,2728.0,877.0,1917.0,2794.0,0.3138869005010737,31.38869005010737,2859.0
England,2020-12-31,7389.0,78316.0,23812.0,59267.0,83079.0,0.2866187604569145,28.661876045691447,85705.0
Wales,2020-12-31,238.0,4691.0,1676.0,3109.0,4785.0,0.35026123301985373,35.02612330198537,4929.0
England,2021-03-31,13487.0,115038.0,38047.0,90217.0,128264.0,0.29663038732613983,29.663038732613984,128525.0
Wales,2021-03-31,396.0,5108.0,1811.0,3682.0,5493.0,0.3296923356999818,32.96923356999818,5504.0
England,2021-06-30,15360.0,147313.0,46666.0,115655.0,162321.0,0.2874920681858786,28.749206818587858,162673.0
Wales,2021-06-30,507.0,6589.0,2204.0,4878.0,7082.0,0.3112115221688789,31.121152216887886,7096.0
England,2021-09-30,11140.0,114514.0,36874.0,88390.0,125264.0,0.2943702899476306,29.43702899476306,125654.0
Wales,2021-09-30,308.0,4465.0,1552.0,3215.0,4767.0,0.32557163834696873,32.55716383469687,4773.0
England,2021-12-31,12181.0,63985.0,21100.0,54553.0,75653.0,0.2789050004626386,27.89050004626386,76166.0
Wales,2021-12-31,368.0,4177.0,1396.0,3121.0,4517.0,0.30905468231126854,30.905468231126854,4545.0
England,2022-03-31,9239.0,66201.0,21491.0,53540.0,75031.0,0.28642827631245754,28.642827631245755,75440.0
Wales,2022-03-31,243.0,3911.0,1319.0,2821.0,4140.0,0.3185990338164251,31.859903381642514,4154.0
England,2022-06-30,12789.0,59020.0,19490.0,51665.0,71155.0,0.2739090717447825,27.39090717447825,71809.0
Wales,2022-06-30,373.0,3245.0,1106.0,2490.0,3596.0,0.3075639599555061,30.756395995550612,3618.0
England,2022-09-30,9722.0,69778.0,22077.0,56356.0,78433.0,0.2814759093748805,28.147590937488047,79500.0
Wales,2022-09-30,283.0,3870.0,1345.0,2782.0,4127.0,0.32590259268233585,32.59025926823359,4153.0
England,2022-12-31,12444.0,60850.0,20311.0,51096.0,71407.0,0.2844399008500567,28.443990085005673,73294.0
Wales,2022-12-31,469.0,3539.0,1253.0,2675.0,3928.0,0.3189918533604888,31.89918533604888,4008.0
England,2023-03-31,6424.0,51105.0,19835.0,35714.0,55549.0,0.3570721345118724,35.70721345118724,57529.0
Wales,2023-03-31,205.0,3023.0,1149.0,1982.0,3131.0,0.36697540721814115,36.697540721814114,3228.0
England,2023-06-30,7460.0,48967.0,18023.0,36123.0,54146.0,0.33285930631994975,33.28593063199497,56427.0
Wales,2023-06-30,289.0,2921.0,1089.0,2040.0,3129.0,0.3480345158197507,34.80345158197507,3210.0
England,2023-09-30,4933.0,52492.0,17965.0,37279.0,55244.0,0.32519368619216565,32.519368619216564,57425.0
Wales,2023-09-30,138.0,3063.0,1080.0,2039.0,3119.0,0.3462648284706637,34.62648284706637,3201.0
England,2023-12-31,6710.0,45206.0,16433.0,32650.0,49083.0,0.3348002363343724,33.48002363343724,51916.0
Wales,2023-12-31,263.0,2752.0,976.0,1903.0,2879.0,0.33900659951372003,33.900659951372006,3015.0
